rsi_high,rsi_low,exit_rsi,capital_usage,stop_loss,return,trades,final_value
65,25,55,0.9,0.03,1.8803150000000022,153,101880.315
65,25,55,0.9,0.02,1.8803150000000022,153,101880.315
65,25,55,0.9,0.01,1.7292499999999706,155,101729.24999999997
70,25,55,0.9,0.03,1.6553300000000308,129,101655.33000000003
70,25,55,0.9,0.02,1.6553300000000308,129,101655.33000000003
70,25,55,0.9,0.01,1.5243549999999377,131,101524.35499999994
65,25,55,0.7,0.03,1.4608399999998511,153,101460.83999999985
65,25,55,0.7,0.02,1.4608399999998511,153,101460.83999999985
65,25,55,0.7,0.01,1.3988199999998907,154,101398.81999999989
70,25,55,0.7,0.01,1.3924199999998526,130,101392.41999999985
70,25,55,0.7,0.03,1.2752349999998551,129,101275.23499999986
70,25,55,0.7,0.02,1.2752349999998551,129,101275.23499999986
65,20,55,0.9,0.03,1.2405799999999871,137,101240.57999999999
65,20,55,0.9,0.02,1.2405799999999871,137,101240.57999999999
65,30,55,0.9,0.03,1.2155199999999895,169,101215.51999999999
65,30,55,0.9,0.02,1.2155199999999895,169,101215.51999999999
65,20,55,0.9,0.01,1.0947149999999528,139,101094.71499999995
70,20,55,0.9,0.03,1.0745399999998773,113,101074.53999999988
70,20,55,0.9,0.02,1.0745399999998773,113,101074.53999999988
65,25,55,0.5,0.01,1.0508149999998277,153,101050.81499999983
65,25,55,0.5,0.03,1.0508149999998277,153,101050.81499999983
65,25,55,0.5,0.02,1.0508149999998277,153,101050.81499999983
65,30,55,0.9,0.01,1.0351599999999161,171,101035.15999999992
70,30,55,0.9,0.02,0.9524650000000838,145,100952.46500000008
70,30,55,0.9,0.03,0.9524650000000838,145,100952.46500000008
70,25,55,0.5,0.03,0.949235000000088,129,100949.23500000009
70,25,55,0.5,0.02,0.949235000000088,129,100949.23500000009
70,25,55,0.5,0.01,0.949235000000088,129,100949.23500000009
65,20,55,0.7,0.03,0.9451099999999133,137,100945.10999999991
65,20,55,0.7,0.02,0.9451099999999133,137,100945.10999999991
70,20,55,0.7,0.01,0.9441149999998889,114,100944.11499999989
65,30,55,0.7,0.03,0.9210599999999249,169,100921.05999999992
65,30,55,0.7,0.02,0.9210599999999249,169,100921.05999999992
70,20,55,0.9,0.01,0.8884799999998213,115,100888.47999999982
65,20,55,0.7,0.01,0.8835999999999039,138,100883.5999999999
65,30,55,0.7,0.01,0.8327199999999575,170,100832.71999999996
70,20,55,0.7,0.03,0.8249799999998213,113,100824.97999999982
70,20,55,0.7,0.02,0.8249799999998213,113,100824.97999999982
70,30,55,0.9,0.01,0.8148500000000058,147,100814.85
65,35,55,0.9,0.03,0.7347599999998929,191,100734.7599999999
65,35,55,0.9,0.02,0.7347599999998929,191,100734.7599999999
